[2025-02-24T15:05:35.668Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:34.951Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:34.573Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:33.171Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:32.038Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:05:32.015Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:05:21.959Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:05:21.958Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:21.953Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:41.227Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:02:41.225Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:41.217Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:16.086Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:02:13.211Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.209Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.152Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.151Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.116Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.115Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.086Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.086Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.057Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.057Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.023Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:13.023Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
